trace_name,alg_name,cache_invalidation_method_compress,cache_invalidation_method_decompress,page_number,compressed_size,uncompressed_size,compression_time,decompression_time
REFERENCE_ollama,WK64,0,0,2018,4240,4096,29252,21755
REFERENCE_ollama,WK64,0,0,2019,4240,4096,27678,20740
REFERENCE_ollama,WK64,0,0,2020,4240,4096,27718,20862
REFERENCE_ollama,WK64,0,0,2021,4240,4096,27092,20855
REFERENCE_ollama,WK64,0,0,2022,4240,4096,28046,20604
REFERENCE_ollama,WK64,0,0,2023,4240,4096,27749,20893
REFERENCE_ollama,WK64,0,0,2024,2392,4096,52527,34194
REFERENCE_ollama,WK64,0,0,2025,1024,4096,17480,12297
REFERENCE_ollama,WK64,0,0,2026,4240,4096,36729,26991
REFERENCE_ollama,WK64,0,0,2027,4240,4096,33472,24549
REFERENCE_ollama,WK64,0,0,2028,4240,4096,28222,24151
REFERENCE_ollama,WK64,0,0,2029,4240,4096,27503,20236
REFERENCE_ollama,WK64,0,0,2030,4240,4096,26686,19498
REFERENCE_ollama,WK64,0,0,2031,4240,4096,26499,20883
REFERENCE_ollama,WK64,0,0,2032,4240,4096,30527,23333
REFERENCE_ollama,WK64,0,0,2033,1016,4096,16071,10830
REFERENCE_ollama,WK64,0,0,2034,160,4096,3348,3385
REFERENCE_ollama,WK64,0,0,2035,1168,4096,13208,11552
REFERENCE_ollama,WK64,0,0,2036,4240,4096,33013,24300
REFERENCE_ollama,WK64,0,0,2037,1008,4096,12039,13028
REFERENCE_ollama,WK64,0,0,2038,4240,4096,33253,24308
REFERENCE_ollama,WK64,0,0,2039,752,4096,10493,9037
REFERENCE_ollama,WK64,0,0,2040,4240,4096,33592,24882
REFERENCE_ollama,WK64,0,0,2041,4240,4096,30028,24430
REFERENCE_ollama,WK64,0,0,2042,4240,4096,31962,22827
REFERENCE_ollama,WK64,0,0,2043,4240,4096,29184,21830
REFERENCE_ollama,WK64,0,0,2044,1184,4096,12795,10887
REFERENCE_ollama,WK64,0,0,2045,4240,4096,29337,22123
REFERENCE_ollama,WK64,0,0,2046,4240,4096,31024,22562
REFERENCE_ollama,WK64,0,0,2047,4240,4096,28330,20945
REFERENCE_ollama,WK64,0,0,2048,1776,4096,17042,14726
REFERENCE_ollama,WK64,0,0,2049,4240,4096,29081,21655
REFERENCE_ollama,WK64,0,0,2050,4240,4096,29381,21787
REFERENCE_ollama,WK64,0,0,2051,4240,4096,31726,23656
REFERENCE_ollama,WK64,0,0,2052,4240,4096,40145,27827
REFERENCE_ollama,WK64,0,0,2053,4240,4096,30345,22770
REFERENCE_ollama,WK64,0,0,2054,3280,4096,67442,44167
REFERENCE_ollama,WK64,0,0,2055,816,4096,11933,10746
REFERENCE_ollama,WK64,0,0,2056,4240,4096,31345,21222
REFERENCE_ollama,WK64,0,0,2057,4240,4096,29551,22043
REFERENCE_ollama,WK64,0,0,2058,4240,4096,77305,51345
REFERENCE_ollama,WK64,0,0,2059,1176,4096,13841,12329
REFERENCE_ollama,WK64,0,0,2060,672,4096,6267,7058
REFERENCE_ollama,WK64,0,0,2061,4240,4096,31237,22763
REFERENCE_ollama,WK64,0,0,2062,4240,4096,32948,24252
REFERENCE_ollama,WK64,0,0,2063,4240,4096,27124,20283
REFERENCE_ollama,WK64,0,0,2064,2336,4096,26643,17007
REFERENCE_ollama,WK64,0,0,2065,4240,4096,32136,23457
REFERENCE_ollama,WK64,0,0,2066,800,4096,11892,9425
REFERENCE_ollama,WK64,0,0,2067,4240,4096,32142,23617
REFERENCE_ollama,WK64,0,0,2068,4240,4096,32534,23717
REFERENCE_ollama,WK64,0,0,2069,632,4096,10623,10191
REFERENCE_ollama,WK64,0,0,2070,4240,4096,33229,24768
REFERENCE_ollama,WK64,0,0,2071,760,4096,11777,11273
REFERENCE_ollama,WK64,0,0,2072,4240,4096,91208,60659
REFERENCE_ollama,WK64,0,0,2073,4240,4096,33317,24163
REFERENCE_ollama,WK64,0,0,2074,928,4096,11285,9248
REFERENCE_ollama,WK64,0,0,2075,1464,4096,21044,17438
REFERENCE_ollama,WK64,0,0,2076,312,4096,3921,3821
REFERENCE_ollama,WK64,0,0,2077,1120,4096,15028,12230
REFERENCE_ollama,WK64,0,0,2078,2640,4096,27742,21684
REFERENCE_ollama,WK64,0,0,2079,4240,4096,32910,24039
REFERENCE_ollama,WK64,0,0,2080,4240,4096,34128,25266
REFERENCE_ollama,WK64,0,0,2081,2360,4096,50863,34109
REFERENCE_ollama,WK64,0,0,2082,1928,4096,27592,19755
REFERENCE_ollama,WK64,0,0,2083,1936,4096,25613,19320
REFERENCE_ollama,WK64,0,0,2084,352,4096,4826,4872
REFERENCE_ollama,WK64,0,0,2085,2368,4096,29056,23256
REFERENCE_ollama,WK64,0,0,2086,4240,4096,35191,25721
REFERENCE_ollama,WK64,0,0,2087,1648,4096,22742,17190
REFERENCE_ollama,WK64,0,0,2088,1888,4096,19815,16187
REFERENCE_ollama,WK64,0,0,2089,4240,4096,34461,25971
REFERENCE_ollama,WK64,0,0,2090,728,4096,10738,9232
REFERENCE_ollama,WK64,0,0,2091,4240,4096,37374,27252
REFERENCE_ollama,WK64,0,0,2092,4240,4096,33073,24692
REFERENCE_ollama,WK64,0,0,2093,4240,4096,36312,27601
REFERENCE_ollama,WK64,0,0,2094,3208,4096,57863,39587
REFERENCE_ollama,WK64,0,0,2095,1800,4096,22187,21614
REFERENCE_ollama,WK64,0,0,2096,4240,4096,35468,26777
REFERENCE_ollama,WK64,0,0,2097,4240,4096,35099,25969
REFERENCE_ollama,WK64,0,0,2098,4240,4096,31489,22818
REFERENCE_ollama,WK64,0,0,2099,4240,4096,89192,58600
REFERENCE_ollama,WK64,0,0,2100,4240,4096,33752,25382
REFERENCE_ollama,WK64,0,0,2101,4240,4096,33838,24600
REFERENCE_ollama,WK64,0,0,2102,4240,4096,34689,25740
REFERENCE_ollama,WK64,0,0,2103,4240,4096,32750,23925
REFERENCE_ollama,WK64,0,0,2104,4240,4096,32031,24671
REFERENCE_ollama,WK64,0,0,2105,4240,4096,32594,24151
REFERENCE_ollama,WK64,0,0,2106,4240,4096,35033,25338
REFERENCE_ollama,WK64,0,0,2107,4240,4096,31406,24099
REFERENCE_ollama,WK64,0,0,2108,4240,4096,31895,24214
REFERENCE_ollama,WK64,0,0,2109,4240,4096,29316,22315
REFERENCE_ollama,WK64,0,0,2110,4240,4096,34107,25570
REFERENCE_ollama,WK64,0,0,2111,4216,4096,30319,22061
REFERENCE_ollama,WK64,0,0,2112,4240,4096,31443,23550
REFERENCE_ollama,WK64,0,0,2113,4240,4096,34125,25334
REFERENCE_ollama,WK64,0,0,2114,3280,4096,70908,47257
REFERENCE_ollama,WK64,0,0,2115,1232,4096,22466,15381
REFERENCE_ollama,WK64,0,0,2116,4240,4096,33264,23982
REFERENCE_ollama,WK64,0,0,2117,4240,4096,34439,25741
REFERENCE_ollama,WK64,0,0,2118,4240,4096,34262,24255
REFERENCE_ollama,WK64,0,0,2119,1120,4096,13230,11344
REFERENCE_ollama,WK64,0,0,2120,4240,4096,33525,24525
REFERENCE_ollama,WK64,0,0,2121,4240,4096,33384,25987
REFERENCE_ollama,WK64,0,0,2122,4240,4096,34803,25868
REFERENCE_ollama,WK64,0,0,2123,752,4096,11887,10960
REFERENCE_ollama,WK64,0,0,2124,704,4096,10084,10622
REFERENCE_ollama,WK64,0,0,2125,4240,4096,85541,54001
REFERENCE_ollama,WK64,0,0,2126,4240,4096,27189,20319
REFERENCE_ollama,WK64,0,0,2127,4240,4096,33157,22348
REFERENCE_ollama,WK64,0,0,2128,1096,4096,13796,11920
REFERENCE_ollama,WK64,0,0,2129,880,4096,9637,8087
REFERENCE_ollama,WK64,0,0,2130,872,4096,9677,8902
REFERENCE_ollama,WK64,0,0,2131,4240,4096,31399,23940
REFERENCE_ollama,WK64,0,0,2132,4240,4096,31206,22416
REFERENCE_ollama,WK64,0,0,2133,4240,4096,29870,22201
REFERENCE_ollama,WK64,0,0,2134,1184,4096,10508,10985
REFERENCE_ollama,WK64,0,0,2135,4240,4096,76708,50675
